name,description,clean_text,tags,views,comments
Cameron Sinclair: My wish: A call for open-source architecture,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.","['accept', '2006', 'ted', 'prize', 'cameron', 'sinclair', 'demonstrate', 'passionate', 'designer', 'architect', 'respond', 'world', 'housing', 'crisis', 'unveil', 'ted', 'prize', 'wish', 'network', 'improve', 'global', 'living', 'standard', 'collaborative', 'design']","['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",1211416,79
Jehane Noujaim: My wish: A global day of film,Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,"['jehane', 'noujaim', 'unveil', '2006', 'ted', 'prize', 'wish', 'bring', 'world', 'day', 'year', 'power', 'film']","['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",387877,55
Larry Brilliant: My wish: Help me stop pandemics,"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.","['accept', '2006', 'ted', 'prize', 'dr.', 'larry', 'brilliant', 'talk', 'smallpox', 'eradicate', 'planet', 'call', 'new', 'global', 'system', 'identify', 'contain', 'pandemic', 'spread']","['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",693341,71
Jeff Han: The radical promise of the multi-touch interface,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.","['jeff', 'han', 'show', 'cheap', 'scalable', 'multi', 'touch', 'pressure', 'sensitive', 'computer', 'screen', 'interface', 'spell', 'end', 'point', 'click']","['demo', 'design', 'interface design', 'technology']",4531020,242
Nicholas Negroponte: One Laptop per Child,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""","['nicholas', 'negroponte', 'founder', 'mit', 'media', 'laboratory', 'describe', 'laptop', 'child', 'project', 'build', 'distribute', '$', '100', 'laptop']","['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",358304,99
Sirena Huang: An 11-year-old's magical violin,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.","['violinist', 'sirena', 'huang', 'give', 'technically', 'brilliant', 'emotionally', 'nuanced', 'performance', 'charming', 'interlude', '11', 'year', 'old', 'praise', 'timeless', 'design', 'instrument']","['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",2702470,325
"Jennifer Lin: Improvising on piano, aged 14","Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.","['pianist', 'composer', 'jennifer', 'lin', 'give', 'magical', 'performance', 'talk', 'process', 'creativity', 'improvise', 'move', 'solo', 'piece', 'base', 'random', 'sequence', 'note']","['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']",1628912,305
Amy Smith: Simple designs to save a life,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,"['fume', 'indoor', 'cooking', 'fire', 'kill', '2', 'million', 'child', 'year', 'develop', 'world', 'mit', 'engineer', 'amy', 'smith', 'detail', 'exciting', 'simple', 'solution', 'tool', 'turn', 'farm', 'waste', 'clean', 'burn', 'charcoal']","['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",1415724,88
"Ross Lovegrove: Organic design, inspired by nature","Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.","['designer', 'ross', 'lovegrove', 'expound', 'philosophy', 'fat', 'free', 'design', 'offer', 'insight', 'extraordinary', 'product', 'include', 'ty', 'nant', 'water', 'bottle', 'chair']","['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']",1074081,163
Jimmy Wales: The birth of Wikipedia,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.","['jimmy', 'wales', 'recall', 'assemble', 'ragtag', 'band', 'volunteer', 'give', 'tool', 'collaborate', 'create', 'wikipedia', 'self', 'organize', 'self', 'correct', 'finish', 'online', 'encyclopedia']","['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",1106561,84
Richard Baraniuk: The birth of the open-source learning revolution,"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.","['2006', 'open', 'learn', 'visionary', 'richard', 'baraniuk', 'explain', 'vision', 'connexion', 'call', 'openstax', 'open', 'source', 'online', 'education', 'system', 'cut', 'textbook', 'allow', 'teacher', 'share', 'modify', 'course', 'material', 'freely', 'world']","['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",966439,108
Ze Frank: Nerdcore comedy,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.","['performer', 'web', 'toymaker', 'ze', 'frank', 'deliver', 'hilarious', 'nerdcore', 'standup', 'routine', 'tell', 'seriously', 'passionate', 'help', 'people', 'create', 'interact', 'simple', 'addictive', 'web', 'tool']","['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",6141440,185
Mena Trott: Meet the founder of the blog revolution,"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.","['found', 'mother', 'blog', 'revolution', 'movable', 'type', 'mena', 'trott', 'talk', 'early', 'day', 'blogging', 'realize', 'give', 'regular', 'people', 'power', 'share', 'life', 'online', 'key', 'build', 'friendly', 'connected', 'world']","['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",518624,50
"Helen Fisher: Why we love, why we cheat","Anthropologist Helen Fisher takes on a tricky topic – love – and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.","['anthropologist', 'helen', 'fisher', 'take', 'tricky', 'topic', 'love', 'explain', 'evolution', 'biochemical', 'foundation', 'social', 'importance', 'close', 'warning', 'potential', 'disaster', 'inherent', 'antidepressant', 'abuse']","['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']",9260764,556
Eve Ensler: Happiness in body and soul,"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.","['eve', 'ensler', 'creator', 'vagina', 'monologue', 'share', 'discussion', 'menopause', 'friend', 'lead', 'talk', 'sort', 'sexual', 'act', 'onstage', 'wag', 'global', 'campaign', 'end', 'violence', 'woman', 'find', 'happiness']","['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",1131864,117
David Deutsch: Chemical scum that dream of distant quasars,"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.","['legendary', 'scientist', 'david', 'deutsch', 'put', 'theoretical', 'physics', 'burner', 'discuss', 'urgent', 'matter', 'survival', 'specie', 'step', 'solve', 'global', 'warming', 'say', 'admit', 'problem']","['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",1096862,184
Richard Dawkins: Why the universe seems so strange,"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe.","['biologist', 'richard', 'dawkins', 'make', 'case', 'think', 'improbable', 'look', 'human', 'frame', 'reference', 'limit', 'understanding', 'universe']","['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",2885999,507
Steven Levitt: The freakonomics of crack dealing,"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.","['freakonomic', 'author', 'steven', 'levitt', 'present', 'new', 'datum', 'finance', 'drug', 'dealing', 'contrary', 'popular', 'myth', 'say', 'street', 'corner', 'crack', 'dealer', 'lucrative', 'pay', 'minimum', 'wage', 'boss', 'kill']","['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",2863214,95
"Malcolm Gladwell: Choice, happiness and spaghetti sauce","""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.","['tipping', 'point', 'author', 'malcolm', 'gladwell', 'get', 'inside', 'food', 'industry', 'pursuit', 'perfect', 'spaghetti', 'sauce', 'make', 'large', 'argument', 'nature', 'choice', 'happiness']","['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']",7023562,355
Dan Gilbert: The surprising science of happiness,"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that we’ll be miserable if we don’t get what we want. Our ""psychological immune system"" lets us feel truly happy even when things don’t go as planned.","['dan', 'gilbert', 'author', 'stumble', 'happiness', 'challenge', 'idea', 'miserable', 'want', 'psychological', 'immune', 'system', 'let', 'feel', 'truly', 'happy', 'thing', 'plan']","['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",14689301,970
Barry Schwartz: The paradox of choice,"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.","['psychologist', 'barry', 'schwartz', 'take', 'aim', 'central', 'tenet', 'western', 'society', 'freedom', 'choice', 'schwartz', 'estimation', 'choice', 'free', 'paralyzed', 'happy', 'dissatisfied']","['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",10000702,991
Eva Vertes: Meet the future of cancer research,Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and Alzheimer’s.,"['eva', 'vertes', '19', 'give', 'talk', 'discuss', 'journey', 'study', 'medicine', 'drive', 'understand', 'root', 'cancer', 'alzheimer']","['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']",1030267,213
Aubrey de Grey: A roadmap to end aging,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.","['cambridge', 'researcher', 'aubrey', 'de', 'grey', 'argue', 'aging', 'merely', 'disease', 'curable', 'human', 'age', 'seven', 'basic', 'way', 'say', 'avert']","['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']",3277740,612
Iqbal Quadir: How mobile phones can fight poverty,"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.","['iqbal', 'quadir', 'tell', 'experience', 'kid', 'poor', 'bangladesh', 'later', 'banker', 'new', 'york', 'lead', 'start', 'mobile', 'phone', 'operator', 'connect', '80', 'million', 'rural', 'bangladeshi', 'champion', 'development']","['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']",503517,74
Jacqueline Novogratz: Invest in Africa's own solutions,"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.","['jacqueline', 'novogratz', 'applaud', 'world', 'heighten', 'interest', 'africa', 'poverty', 'argue', 'persuasively', 'new', 'approach']","['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']",705389,58
Sasa Vucinic: Why we should invest in a free press,"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds.""","['free', 'press', 'paper', 'magazine', 'radio', 'tv', 'blog', 'backbone', 'true', 'democracy', 'vital', 'watchdog', 'business', 'sasa', 'vucinic', 'journalist', 'belgrade', 'talk', 'new', 'fund', 'support', 'medium', 'sell', 'free', 'press', 'bond']","['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']",580891,43
Ashraf Ghani: How to rebuild a broken state,"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.","['ashraf', 'ghani', 'passionate', 'powerful', '10', 'minute', 'talk', 'emphasize', 'necessity', 'economic', 'investment', 'design', 'ingenuity', 'rebuild', 'broken', 'state', 'follow', 'conversation', 'ted', 'curator', 'chris', 'anderson', 'future', 'afghanistan']","['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']",809226,67
Burt Rutan: The real future of space exploration,"In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off.","['passionate', 'talk', 'legendary', 'spacecraft', 'designer', 'burt', 'rutan', 'lambast', 'government', 'fund', 'space', 'program', 'stagnate', 'ask', 'entrepreneur', 'pick', 'nasa', 'leave']","['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']",2028451,186
Ben Saunders: Why did I ski to the North Pole?,"Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.","['arctic', 'explorer', 'ben', 'saunders', 'recount', 'harrowing', 'solo', 'ski', 'trek', 'north', 'pole', 'complete', 'engaging', 'anecdote', 'gorgeous', 'photo', 'see', 'video']","['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']",745231,57
Bono: My wish: Three actions for Africa,"Musician and activist Bono accepts the 2005 TED Prize with a riveting talk, arguing that aid to Africa isn't just another celebrity cause; it's a global emergency.","['musician', 'activist', 'bono', 'accept', '2005', 'ted', 'prize', 'riveting', 'talk', 'argue', 'aid', 'africa', 'celebrity', 'cause', 'global', 'emergency']","['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']",718649,112
Edward Burtynsky: My wish: Manufactured landscapes and green education,"Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability.","['accept', '2005', 'ted', 'prize', 'photographer', 'edward', 'burtynsky', 'make', 'wish', 'image', 'stunning', 'landscape', 'document', 'humanity', 'impact', 'world', 'help', 'persuade', 'million', 'join', 'global', 'conversation', 'sustainability']","['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']",975107,58
Robert Fischell: My wish: Three unusual medical inventions,"Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system.","['accept', '2005', 'ted', 'prize', 'inventor', 'robert', 'fischell', 'make', 'wish', 'redesign', 'portable', 'device', 'treat', 'migraine', 'find', 'new', 'cure', 'clinical', 'depression', 'reform', 'medical', 'malpractice', 'system']","['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']",382996,33
Peter Donnelly: How juries are fooled by statistics,Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.,"['oxford', 'mathematician', 'peter', 'donnelly', 'reveal', 'common', 'mistake', 'human', 'interpret', 'statistic', 'devastating', 'impact', 'error', 'outcome', 'criminal', 'trial']","['culture', 'genetics', 'science', 'statistics', 'technology']",1053758,105
Michael Shermer: Why people believe weird things,"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts.","['people', 'virgin', 'mary', 'cheese', 'sandwich', 'hear', 'demonic', 'lyric', 'stairway', 'heaven', 'video', 'music', 'skeptic', 'michael', 'shermer', 'show', 'convince', 'believe', 'overlook', 'fact']","['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']",5364639,494
Ray Kurzweil: The accelerating power of technology,"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.","['inventor', 'entrepreneur', 'visionary', 'ray', 'kurzweil', 'explain', 'abundant', 'ground', 'detail', '2020s', 'reverse', 'engineer', 'human', 'brain', 'nanobot', 'operate', 'consciousness']","['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",2434344,233
Kevin Kelly: How technology evolves,"Tech enthusiast Kevin Kelly asks ""What does technology want?"" and discovers that its movement toward ubiquity and complexity is much like the evolution of life.","['tech', 'enthusiast', 'kevin', 'kelly', 'ask', 'technology', 'want', 'discover', 'movement', 'ubiquity', 'complexity', 'like', 'evolution', 'life']","['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']",1536873,149
Peter Gabriel: Fight injustice with raw video,Musician and activist Peter Gabriel shares his very personal motivation for standing up for human rights with the watchdog group WITNESS -- and tells stories of citizen journalists in action.,"['musician', 'activist', 'peter', 'gabriel', 'share', 'personal', 'motivation', 'stand', 'human', 'right', 'watchdog', 'group', 'witness', 'tell', 'story', 'citizen', 'journalist', 'action']","['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']",904215,52
Richard St. John: 8 secrets of success,Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.,"['people', 'succeed', 'smart', 'lucky', 'analyst', 'richard', 'st.', 'john', 'condense', 'year', 'interview', 'unmissable', '3', 'minute', 'slideshow', 'real', 'secret', 'success']","['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",10841210,578
Rives: If I controlled the Internet,"How many poets could cram eBay, Friendster and Monster.com into 3-minute poem worthy of a standing ovation? Enjoy Rives' unique talent.","['poet', 'cram', 'ebay', 'friendster', 'monster.com', '3', 'minute', 'poem', 'worthy', 'standing', 'ovation', 'enjoy', 'rives', 'unique', 'talent']","['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']",1813665,95
Dean Ornish: The killer American diet that's sweeping the planet,Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and it’s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.,"['forget', 'late', 'disease', 'news', 'cardiovascular', 'disease', 'kill', 'people', 'combine', 'preventable', 'dr.', 'dean', 'ornish', 'explain', 'change', 'eat', 'habit', 'save', 'life']","['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",2299265,199
Robert Neuwirth: The hidden world of shadow cities,"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour.","['robert', 'neuwirth', 'author', 'shadow', 'cities', 'find', 'world', 'squatter', 'site', 'billion', 'people', 'home', 'thrive', 'center', 'ingenuity', 'innovation', 'take', 'tour']","['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']",673036,85
Bjorn Lomborg: Global priorities bigger than climate change,"Given $50 billion to spend, which would you solve first, AIDS or global warming? Danish political scientist Bjorn Lomborg comes up with surprising answers.","['give', '$', '50', 'billion', 'spend', 'solve', 'aids', 'global', 'warming', 'danish', 'political', 'scientist', 'bjorn', 'lomborg', 'come', 'surprising', 'answer']","['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']",1391142,499
Wade Davis: Dreams from endangered cultures,"With stunning photos and stories, National Geographic Explorer Wade Davis celebrates the extraordinary diversity of the world's indigenous cultures, which are disappearing from the planet at an alarming rate.","['stunning', 'photo', 'story', 'national', 'geographic', 'explorer', 'wade', 'davis', 'celebrate', 'extraordinary', 'diversity', 'world', 'indigenous', 'culture', 'disappear', 'planet', 'alarming', 'rate']","['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']",2532851,371
Phil Borges: Photos of endangered cultures,"Photographer Phil Borges shows rarely seen images of people from the mountains of Dharamsala, India, and the jungles of the Ecuadorean Amazon. In documenting these endangered cultures, he intends to help preserve them.","['photographer', 'phil', 'borges', 'shows', 'rarely', 'see', 'image', 'people', 'mountain', 'dharamsala', 'india', 'jungle', 'ecuadorean', 'amazon', 'document', 'endanger', 'culture', 'intend', 'help', 'preserve']","['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']",882034,59
Martin Rees: Is this our final century?,"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development.","['speak', 'astronomer', 'concerned', 'member', 'human', 'race', 'sir', 'martin', 'rees', 'examine', 'planet', 'future', 'cosmic', 'perspective', 'urge', 'action', 'prevent', 'dark', 'consequence', 'scientific', 'technological', 'development']","['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']",2121177,203
Robert Wright: Progress is not a zero-sum game,"Author Robert Wright explains ""non-zero-sumness"" -- the network of linked fortunes and cooperation that has guided our evolution to this point -- and how we can use it to help save humanity today.","['author', 'robert', 'wright', 'explain', 'non', 'zero', 'sumness', 'network', 'link', 'fortune', 'cooperation', 'guide', 'evolution', 'point', 'use', 'help', 'save', 'humanity', 'today']","['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']",1090180,130
"Steven Johnson: How the ""ghost map"" helped end a killer disease","Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society.","['author', 'steven', 'johnson', 'take', '10', 'minute', 'tour', '<', '>', 'ghost', 'map</i', '>', 'book', 'cholera', 'outbreak', '1854', 'london', 'impact', 'science', 'city', 'modern', 'society']","['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']",684519,47
